Date,Load,Zone
6/2/2023 12:00,810.8102,MHK VL
6/2/2023 12:00,410.3819,MILLWD
6/2/2023 12:00,7097.1829,N.Y.C.
6/2/2023 12:00,668.0519,NORTH
6/2/2023 12:00,2135.3719,WEST
6/2/2023 13:00,1679.7259,CAPITL
6/2/2023 13:00,1944.701,CENTRL
6/2/2023 13:00,863.0586,DUNWOD
6/2/2023 13:00,1293.8511,GENESE
6/2/2023 13:00,1348.3722,HUD VL
6/2/2023 13:00,2756.9052,LONGIL
6/2/2023 13:00,828.2502,MHK VL
6/2/2023 13:00,434.9736,MILLWD
6/2/2023 13:00,7262.3646,N.Y.C.
6/2/2023 13:00,636.7164,NORTH
6/2/2023 13:00,2212.224,WEST
6/2/2023 14:00,1762.8137,CAPITL
6/2/2023 14:00,1969.8282,CENTRL
6/2/2023 14:00,901.4468,DUNWOD
6/2/2023 14:00,1342.7814,GENESE
6/2/2023 14:00,1450.941,HUD VL
6/2/2023 14:00,2901.0387,LONGIL
6/2/2023 14:00,862.4312,MHK VL
6/2/2023 14:00,462.6883,MILLWD
6/2/2023 14:00,7369.7723,N.Y.C.
6/2/2023 14:00,645.8917,NORTH
6/2/2023 14:00,2269.1347,WEST
6/2/2023 15:00,1814.793,CAPITL
6/2/2023 15:00,2010.9118,CENTRL
6/2/2023 15:00,946.6145,DUNWOD
6/2/2023 15:00,1362.9043,GENESE
6/2/2023 15:00,1599.8419,HUD VL
6/2/2023 15:00,3004.2237,LONGIL
6/2/2023 15:00,873.7116,MHK VL
6/2/2023 15:00,469.1571,MILLWD
6/2/2023 15:00,7455.9264,N.Y.C.
6/2/2023 15:00,650.3635,NORTH
6/2/2023 15:00,2317.3191,WEST
6/2/2023 16:00,1851.6583,CAPITL
6/2/2023 16:00,2062.4059,CENTRL
6/2/2023 16:00,979.5047,DUNWOD
6/2/2023 16:00,1402.2986,GENESE
6/2/2023 16:00,1650.4919,HUD VL
6/2/2023 16:00,3104.3146,LONGIL
6/2/2023 16:00,896.9541,MHK VL
6/2/2023 16:00,479.9896,MILLWD
6/2/2023 16:00,7436.1414,N.Y.C.
6/2/2023 16:00,669.4014,NORTH
6/2/2023 16:00,2333.6455,WEST
6/2/2023 17:00,1826.7484,CAPITL
6/2/2023 17:00,2125.5818,CENTRL
6/2/2023 17:00,979.4452,DUNWOD
6/2/2023 17:00,1445.2216,GENESE
6/2/2023 17:00,1572.0457,HUD VL
6/2/2023 17:00,3157.5901,LONGIL
6/2/2023 17:00,916.7842,MHK VL
6/2/2023 17:00,481.4167,MILLWD
6/2/2023 17:00,7291.1159,N.Y.C.
6/2/2023 17:00,670.5458,NORTH
6/2/2023 17:00,2336.8825,WEST
6/2/2023 18:00,1802.2873,CAPITL
6/2/2023 18:00,2180.6959,CENTRL
6/2/2023 18:00,912.7747,DUNWOD
6/2/2023 18:00,1448.7664,GENESE
6/2/2023 18:00,1506.8548,HUD VL
6/2/2023 18:00,3050.4636,LONGIL
6/2/2023 18:00,950.654,MHK VL
6/2/2023 18:00,442.067,MILLWD
6/2/2023 18:00,6912.457,N.Y.C.
6/2/2023 18:00,677.7133,NORTH
6/2/2023 18:00,2339.7853,WEST
6/2/2023 19:00,1746.7354,CAPITL
6/2/2023 19:00,2168.0803,CENTRL
6/2/2023 19:00,850.0163,DUNWOD
6/2/2023 19:00,1397.8868,GENESE
6/2/2023 19:00,1460.5283,HUD VL
6/2/2023 19:00,2908.5095,LONGIL
6/2/2023 19:00,973.7846,MHK VL
6/2/2023 19:00,408.7562,MILLWD
6/2/2023 19:00,6627.9709,N.Y.C.
6/2/2023 19:00,671.3393,NORTH
6/2/2023 19:00,2308.2263,WEST
6/2/2023 20:00,1711.3693,CAPITL
6/2/2023 20:00,2095.3113,CENTRL
6/2/2023 20:00,822.9048,DUNWOD
6/2/2023 20:00,1353.9465,GENESE
6/2/2023 20:00,1420.0748,HUD VL
6/2/2023 20:00,2797.2604,LONGIL
6/2/2023 20:00,968.6959,MHK VL
6/2/2023 20:00,391.7907,MILLWD
6/2/2023 20:00,6415.1486,N.Y.C.
6/2/2023 20:00,649.3349,NORTH
6/2/2023 20:00,2216.1088,WEST
6/2/2023 21:00,1653.0469,CAPITL
6/2/2023 21:00,2001.8761,CENTRL
6/2/2023 21:00,824.3162,DUNWOD
6/2/2023 21:00,1309.3926,GENESE
6/2/2023 21:00,1364.6484,HUD VL
6/2/2023 21:00,2639.0468,LONGIL
6/2/2023 21:00,946.6504,MHK VL
6/2/2023 21:00,380.8764,MILLWD
6/2/2023 21:00,6222.2244,N.Y.C.
6/2/2023 21:00,603.2317,NORTH
6/2/2023 21:00,2136.3314,WEST
6/2/2023 22:00,1537.4647,CAPITL
6/2/2023 22:00,1859.3898,CENTRL
6/2/2023 22:00,742.4013,DUNWOD
6/2/2023 22:00,1223.7701,GENESE
6/2/2023 22:00,1256.4684,HUD VL
6/2/2023 22:00,2478.0394,LONGIL
6/2/2023 22:00,874.1957,MHK VL
6/2/2023 22:00,349.0041,MILLWD
6/2/2023 22:00,5891.4374,N.Y.C.
6/2/2023 22:00,576.976,NORTH
6/2/2023 22:00,2003.6721,WEST
6/2/2023 23:00,1423.8839,CAPITL
6/2/2023 23:00,1715.9124,CENTRL
6/2/2023 23:00,686.707,DUNWOD
6/2/2023 23:00,1132.1586,GENESE
6/2/2023 23:00,1149.6088,HUD VL
6/2/2023 23:00,2279.4026,LONGIL
6/2/2023 23:00,808.4136,MHK VL
6/2/2023 23:00,313.5981,MILLWD
6/2/2023 23:00,5573.0942,N.Y.C.
6/2/2023 23:00,566.3054,NORTH
6/2/2023 23:00,1861.8831,WEST
6/3/2023 0:00,1332.4752,CAPITL
6/3/2023 0:00,1610.6294,CENTRL
6/3/2023 0:00,636.0947,DUNWOD
6/3/2023 0:00,1048.2339,GENESE
6/3/2023 0:00,1062.3829,HUD VL
6/3/2023 0:00,2118.9429,LONGIL
6/3/2023 0:00,754.4879,MHK VL
6/3/2023 0:00,282.8758,MILLWD
6/3/2023 0:00,5272.1757,N.Y.C.
6/3/2023 0:00,549.1269,NORTH
6/3/2023 0:00,1743.4124,WEST
6/3/2023 1:00,1262.5624,CAPITL
6/3/2023 1:00,1515.8545,CENTRL
6/3/2023 1:00,594.0315,DUNWOD
6/3/2023 1:00,994.5305,GENESE
6/3/2023 1:00,1001.4762,HUD VL
6/3/2023 1:00,1981.399,LONGIL
6/3/2023 1:00,706.7777,MHK VL
6/3/2023 1:00,265.4526,MILLWD
6/3/2023 1:00,5022.2963,N.Y.C.
6/3/2023 1:00,544.8574,NORTH
6/3/2023 1:00,1656.7388,WEST
6/3/2023 2:00,1213.4249,CAPITL
6/3/2023 2:00,1478.0844,CENTRL
6/3/2023 2:00,555.0388,DUNWOD
6/3/2023 2:00,954.8048,GENESE
6/3/2023 2:00,951.5231,HUD VL
6/3/2023 2:00,1882.52,LONGIL
6/3/2023 2:00,684.7521,MHK VL
6/3/2023 2:00,249.6408,MILLWD
6/3/2023 2:00,4824.3103,N.Y.C.
6/3/2023 2:00,535.4688,NORTH
6/3/2023 2:00,1591.198,WEST
